[0.00s -> 2.00s]  wau, m'hoj.
[2.00s -> 21.04s]  m'hoj that
[21.04s -> 24.76s]  m'hoj, m'hoj.
[24.76s -> 27.60s]  m'hoj that.
[27.70s -> 29.60s]  V go
[29.60s -> 33.66s]  I the motion as well if someone would like to move please
[33.66s -> 34.86s]  can I be the motion?
[35.36s -> 40.20s]  thank absolutely thank Susan all in favour
[40.20s -> 41.90s]  whatever country knows its carried
[43.10s -> 46.54s]  disclosure of members interests do we have any today
[49.00s -> 51.48s]  no one we want item 4 late items
[52.80s -> 54.36s]  any late items
[54.36s -> 62.36s]  No late items, so confirmation of order of meeting. No changes, Ken?
[62.36s -> 70.36s]  No, I don't see any need for change. We do have a number of guests joining us at the meeting today.
[70.36s -> 76.36s]  But they're well aware of the time. So yes, I'm hoping they'll be here at the required time.
[76.36s -> 82.36s]  Happy to move in, Graham. Thanks, Graham. A seconder? A second, Susan.
[82.36s -> 88.36s]  Thanks, Susan. I think that was. Cheers. All in favour, please say aye.
[88.36s -> 100.36s]  I'm currently no carried. Okay, item six, which is confirmation of the minutes from 18 February.
[100.36s -> 108.36s]  We all take those as being read. Anything raised from those minutes?
[108.36s -> 116.36s]  Andrew Graham speaking. My diary is showing me that I was at that meeting, but my name's not recorded there.
[116.36s -> 122.36s]  Right. I was going to bring that up too, so I think there's some mistakes. Thanks Bruce.
[122.36s -> 128.36s]  Okay, so I'm sure we can have that remedy, Sam.
[128.36s -> 136.36s]  Yes, we'll make the changes. Thank you. Are you okay? So with that change, could I have a mover for the minutes to be received?
[136.36s -> 139.36s]  It's a true and correct request. Thank you, Marcus.
[139.36s -> 144.36s]  Seconder? I'll second it. Thanks, Bruce. All in favour, please say aye.
[144.36s -> 145.36s]  I. I.
[145.36s -> 148.36s]  Country no carried. Thank you.
[148.36s -> 153.36s]  Item seven, Jason. Has Jason joined us?
[153.36s -> 158.36s]  Yes. I see. Sam, not in my height, Jason. How are you doing?
[158.36s -> 163.36s]  Good. Thank you. Great. The floor is yours.
[163.36s -> 177.36s]  Okay. Sam, I don't think we had as we had issues with trying to get the presentation. Is that right? Oh, no. Sam is sharing. Brilliant.
[177.36s -> 180.36s]  Perfect.
[180.36s -> 192.36s]  Thanks, Sam. Good morning. Well, good afternoon. Sorry, everyone. Thanks for allowing me time just to give you a quick update on where we are as a sector for tourism, and particularly for white pad district.
[192.36s -> 202.36s]  So a report has obviously been provided to you and prepared which was our last six months performance at the end of 31st December 2019.
[202.36s -> 211.36s]  You would have seen why pad district council was going through significant growth, probably one of the fastest growing regions for us with regards to tourism impact.
[211.36s -> 218.36s]  You were experiencing double digit growth pretty much through visitor expenditure and also commercial accommodation.
[218.36s -> 229.36s]  But we are here today to discuss this, obviously, a bit of a change in the dynamic given COVID and the impact for tourism, particularly as a sector.
[229.36s -> 235.36s]  We can go to the next slide, Sam.
[235.36s -> 248.36s]  Perfect. So just first a couple of slides, obviously, just covering off some data. We're now receiving international and national data on a weekly basis from the government and also from the airlines.
[248.36s -> 259.36s]  It's a surprise, obviously, since COVID lockdown and international travel restrictions were put in place, international visitor arrivals into New Zealand has been have been dropping it at a very sharp rate.
[259.36s -> 274.36s]  We still do have airline connectivity, which I will go through because we are still maintaining what we call a baseline service for connections across the world, mainly for repatriation flights, but also for cargo and service across the country as well.
[274.36s -> 279.36s]  Next slide, Sam.
[279.36s -> 286.36s]  So weekly card transactions again, no surprise, obviously, overall our visitor expenditure is down significantly.
[286.36s -> 301.36s]  But when you do look on to the left top five, obviously food, liquor and pharmacies, we are still seeing some cumulative and some obviously weekly growth and expenditure compared to all our other visitor type of expenditure and transactions as well.
[301.36s -> 308.36s]  Sam.
[308.36s -> 322.36s]  So the impact for us as a sector, again, look, I mean, all of this has been reported, but just to cover off in summary, we were already impacted through the loss of China group travel, which started in the second to last week of January.
[322.36s -> 334.36s]  So with that, all of our international facing products, our hotels, our motels, our Airbnb's were immediately impacted by that because many of China group travel actually did stay in the White Cutswell.
[334.36s -> 341.36s]  They were our fourth largest international visitor market behind Australia, North America and UK Europe.
[341.36s -> 346.36s]  It did shut us down pretty much once international travel restrictions hit us.
[346.36s -> 359.36s]  And the visitor economy covers more than just the tourism operators, again, we've mentioned accommodation, it also impacts retail, hospitality, transport providers, our operators, of course, but also event organizers and major venues.
[359.36s -> 367.36s]  And of course, mystery creek of anti-trium and Lake Harapital, a key event platforms for white part district.
[367.36s -> 372.36s]  We have had significant job losses and business closures across tourism.
[372.36s -> 380.36s]  We have down underneath that last bullet point, look, the immediate business impact that we have been coaching our businesses through and helping them get through.
[380.36s -> 383.36s]  As some have gone into what we call temporary or seasonal closure.
[383.36s -> 393.36s]  So again, we have a lot of seasonality and tourism, many who would close for winter have closed, but those that potentially have never closed before, we've suggested they go into hibernation.
[393.36s -> 396.36s]  And so that's what we're calling temporary seasonal closures.
[396.36s -> 409.36s]  We've got a number of businesses, you know, Hobbiton was obviously one of the most public ones reported in the media, but again, all our motels, hotels, retail, hospitality, have pretty much reduced service and stuff.
[409.36s -> 419.36s]  There's only essential services operating as we know, but again, with alert level three, we do see some opening up, potentially in the hospitality sector for white power anyway.
[419.36s -> 432.36s]  So the last obviously implication for us as we have had a number of businesses who are permanently closing, not only are these are lost, definitely to the tourism industry to try and bring people back when we don't have products.
[432.36s -> 438.36s]  But also particularly for those vulnerable communities, where some of these operators have been going for many years.
[438.36s -> 442.36s]  Thanks, Sam.
[442.36s -> 444.36s]  Any questions about that?
[444.36s -> 445.36s]  Sure.
[445.36s -> 454.36s]  Have you got examples of what businesses are struggling and like what who isn't closing, but who is closing and how it is impacting around the wine industry?
[454.36s -> 463.36s]  Yeah, so particularly for white power, it has mainly been your hospitality, potentially some of your retail and also accommodation.
[463.36s -> 468.36s]  So we have had many nearly all of your accommodation has pretty much gone into hibernation or closure.
[468.36s -> 473.36s]  They're calling it temporary closure, but there's some of them have been able to access the wage subsidy, which is great.
[473.36s -> 482.36s]  But again, what we're going to see is the impacts are longer than the 12 week wage subsidy right now. So it's post 12 weeks what we're quite concerned about.
[482.36s -> 490.36s]  We have been lobbying nationally, the government and I think that's all sectors, not just tourism around potentially extending the wage subsidy for 20 weeks.
[490.36s -> 497.36s]  Because it will take a lot to restart the tourism sector again, people's propensity to travel is quite low.
[497.36s -> 513.36s]  We will travel locally and potentially we will travel intra regionally to stay within the region, but to try and stand up the domestic travel market is going to be a long haul that we're looking into six to 12 months recovery plan for that.
[513.36s -> 519.36s]  Great. So lastly, look, I mean, nothing else prior to you. This was just something we do for industry.
[519.36s -> 530.36s]  People know where we all fit. So from the tourism perspective when we respond, obviously we're providing industry support right now at a national level regional level and also at a local level.
[530.36s -> 542.36s]  But then we have to walk our chambers of commerce, our business associations and all local government have been great and actually supporting us with what we call the business and community support site for tourism businesses.
[542.36s -> 549.36s]  Lastly, we're obviously partnered with the Civil Defence Network around providing welfare support, not just for tourism operators.
[549.36s -> 561.36s]  Again, it's also been utilising tourism operators, many of our caterers have now been repurposed into providing food services, pretty much all supporting the food banks and actually cooking meals.
[561.36s -> 571.36s]  We also have a number of our transport operators and tourism being basically requisitions now to provide transport options and actually getting people around such as essential workers.
[571.36s -> 579.36s]  The staff potentially, we've been redeploying into the civil defence network through providing security and welfare and call centre as well.
[579.36s -> 594.36s]  So not only are we also working with civil defence, we're also putting staff into there as well.
[595.36s -> 606.36s]  Even though we're obviously dealing with COVID, this is just for you to be aware there are obviously continuing issues that we're going on with COVID and with the tourism industry.
[606.36s -> 613.36s]  First up was domestic airline connectivity. So look, New Zealand has been pretty open that they will not be restarting until a level one.
[613.36s -> 618.36s]  So we meet with New Zealand weekly just to see how we will try and stand the industry back up again.
[619.36s -> 625.36s]  They're going to focus very much what we call an incremental restart, so it's doing a width and breadth strategy across the country.
[625.36s -> 629.36s]  So potentially maybe only two or three flights into Hamilton per day.
[629.36s -> 640.36s]  But again, it's to try and get that reach across the whole network first before they can actually stand up and have a full schedule like we have seen out of Hamilton Airport particularly over the last three to four years.
[640.36s -> 646.36s]  Airline connectivity internationally is still continuing. So those are just some summary of some of the ones that are still flying.
[646.36s -> 651.36s]  So look, New Zealand are still connecting into North America and Hong Kong into Australia.
[651.36s -> 661.36s]  Fiji airlines are still flying into Fiji on a daily service in Qatar has probably used the most to try and repatriate northern hemisphere.
[661.36s -> 667.36s]  Travelers back to their homes through Qatar and then also Korean airlines are still operating a daily service as well.
[667.36s -> 672.36s]  For future again in New Zealand are saying they will be focusing very much on the domestic market first.
[672.36s -> 680.36s]  They will traditionally be a domestic airline for the first six to 12 months and domestic also includes Australia in the Pacific.
[680.36s -> 686.36s]  American Airlines so far have been the only one we've met with who plan to return to New Zealand from October 2020.
[686.36s -> 692.36s]  So they have put a stake in the ground to say when they will start flying into New Zealand again.
[692.36s -> 706.36s]  So the reason why I just raised international airline connectivity is because it will take this country at least two to five years before we ever go back to the type of connectivity we've had as a country previously before lockdown.
[706.36s -> 714.36s]  So again, it's going to be a very long burn for us as a country to regain the international visitor rivals we've seen in the past.
[714.36s -> 724.36s]  Yeah, traffic control services up for review. The reason why I just put that in there is just to let everyone know there was no wire cuts or airports or airfields but particularly Hamilton airport is an impacted.
[724.36s -> 732.36s]  But for us in the central North Island to do it is one that is going to be impacted around potentially the closure of air traffic control to other services.
[732.36s -> 737.36s]  That will mean potentially that we will be redo voting the domestic network through Toronto and Hamilton.
[737.36s -> 741.36s]  Unfortunately for Rotorua's last it could be our game.
[741.36s -> 749.36s]  And then lastly we've still got the investigation underway around for Cardi White Island so the work safe investigation should be going to a close shortly.
[749.36s -> 754.36s]  There will be impacts on the tourism and suppliers around adventure tourism for this country.
[754.36s -> 763.36s]  And also we will be awaiting Qualmark which is our accreditation program particularly around health and safety for the country.
[763.36s -> 767.36s]  Thanks Sam.
[767.36s -> 770.36s]  Just some of the data.
[770.36s -> 776.36s]  So we are now field days is going online so from the 30th of June for two weeks.
[776.36s -> 783.36s]  Field days will be providing a virtual exhibition space very similar to other international events who offer this type of experience.
[783.36s -> 787.36s]  Again it is a trial but we do hope to bring field days back in 2021.
[787.36s -> 794.36s]  Obviously not only is the largest major event for White Power but it's definitely for the White Cuttle with regards to economic impact.
[794.36s -> 801.36s]  We worked due to host New Zealand tourism awards in November that has been postponed until next year so we will reset the date for that.
[801.36s -> 806.36s]  Exploring trends these are what we call our two main international trade shows.
[806.36s -> 814.36s]  They've obviously been delayed trends 2021 which is the main time when we actually sell the White Cuttle to the world.
[814.36s -> 819.36s]  We will not be having until maybe June next year so it's just the waiting on a date for that.
[819.36s -> 831.36s]  Two major convention centres were due to open this year to Pi and Christchurch which potentially is the one that will be taking a lot of business away for us for for business events that has now been delayed for another year.
[831.36s -> 840.36s]  And of course in New Zealand international convention centre we will not know the reopening date of that until they work through the final insurance claims.
[840.36s -> 857.36s]  So again by having these two convention centres not operating means that places like Claudelyn's and the mystery creek event centre are going to be filling the gap for national and international conferences for the short term which is actually a good opportunity for us again as a region post COVID.
[857.36s -> 871.36s]  But we also do still have a vent planned so the major events obviously the National Walker Amazon is at this stage still plans to take take take effect and they cut up here and we also have our first major event for the region.
[871.36s -> 886.36s]  The ICC woman's cricket will cut scheduled for the 8th of February again this one will particularly be decided by around October November whether we see international travel restrictions have lifted to enable some other players to come.
[886.36s -> 894.36s]  Otherwise they will have to go into if it does continue into isolation until the cricket will cut can be held so.
[894.36s -> 914.36s]  What we have seen particularly for other parts of the sector is that events have been more postponed for why part and for the wider why cut a region rather than completely cancelled and not returning so there is some positivity for us as we do see this is the lead sector to enter recovery economically and socially for the district.
[914.36s -> 924.36s]  Next slide Sam.
[924.36s -> 942.36s]  We have a three tiered response plan obviously this is no similar to everyone else right now we have a mitigate process with the currently and now we then have a restart phase and then we have a reimagined phase so initially in the response phase no different everyone else lots of briefings.
[942.36s -> 960.36s]  A lot of support we're obviously having face to face briefings across all the sector long before the shutdown and now we've moved to the virtual space we're still doing advocacy at a national level to try and make sure we can access more business support for the region some of the gap right now at a government support and out of the support that to walk I can provide.
[960.36s -> 984.36s]  There's a dozen cover any employees for a hundred employees plus now so that's quite that's quite the pointy end of town we call it for most of our region for our big employers again wage subsidy okay but outside of that there's actually no large industry supports we've been pushing that through government to try and unlock some of that if this can lock down continues we've been doing one of one operated chickens we have 240 listed operators with us.
