[0.00s -> 2.30s]  three, two, four.
[2.30s -> 5.04s]  So that's for the public like to sign in.
[5.04s -> 7.20s]  Public site people leave the meeting.
[7.20s -> 9.44s]  Go to your email, sign in to the other meeting.
[10.44s -> 11.44s]  Bye.
[11.44s -> 12.28s]  All right.
[12.28s -> 13.60s]  Thank you.
[13.60s -> 14.76s]  Public site.
[14.76s -> 15.60s]  Thanks everybody.
[18.24s -> 19.88s]  I'm trying to get out of here.
[20.88s -> 23.20s]  Well, let's just give people another 30 seconds
[23.20s -> 25.68s]  to get to their right meeting.
[25.68s -> 29.40s]  Nancy, what's the public site number?
[29.40s -> 31.60s]  That's not your pencil.
[31.60s -> 38.40s]  298, 007, 6324.
[38.40s -> 41.20s]  That's for the public site building.
[41.20s -> 43.88s]  You're going to go into your email.
[43.88s -> 44.72s]  Yeah, I got it.
[44.72s -> 45.48s]  I got it.
[45.48s -> 48.40s]  And click on the email and click on that for the email.
[48.40s -> 51.20s]  But Dion, I don't have a way to leave the meeting.
[51.20s -> 53.44s]  It says the only thing I can do is end the meeting.
[53.88s -> 59.68s]  So if I do, if I do that, will I stop your meeting?
[68.20s -> 68.68s]  OK.
[68.68s -> 70.76s]  How do I do that?
[70.76s -> 71.28s]  OK.
[76.00s -> 76.88s]  OK.
[76.88s -> 79.88s]  Thanks, Nick.
[79.88s -> 81.08s]  I have participants.
[81.08s -> 82.60s]  And I see invite mute.
[90.88s -> 92.60s]  Not the me one, but the other one.
[92.60s -> 93.40s]  Let's see.
[93.40s -> 114.76s]  OK, done.
[114.76s -> 116.08s]  So then I can leave the meeting now
[116.08s -> 117.60s]  and I'll go join the other one.
[117.60s -> 118.92s]  Thank you.
[118.92s -> 119.96s]  Bye, Nancy.
[119.96s -> 120.48s]  Bye.
[124.40s -> 127.24s]  Dion, are you still with us?
[127.24s -> 129.24s]  I am still here.
[129.24s -> 129.68s]  OK, all right.
[129.68s -> 131.76s]  Well, we're good to go, you think?
[131.76s -> 133.48s]  Yeah, we're ready to go.
[133.48s -> 137.24s]  We like to call to order this meeting, virtual,
[137.24s -> 143.80s]  and pertinence on this Tuesday, April 14, 2020.
[143.80s -> 146.56s]  And I'd like us all to start with the Pledge of Allegiance.
[146.56s -> 155.80s]  I pledge allegiance to the White House of the United States
[155.80s -> 160.80s]  of America to the Republic for the Wichestan's
[160.80s -> 165.64s]  Nation under God, indivisible with liberty and justice for all.
[171.36s -> 174.68s]  I think we probably learned a little bit
[174.68s -> 179.08s]  in that discussion, how to separate the two calls.
[179.08s -> 182.96s]  But just to go through again, I believe we have some people
[182.96s -> 188.00s]  who are on the line for the meeting just on a telephone.
[188.00s -> 194.96s]  To those people, you can use the star, nine function.
[194.96s -> 199.44s]  And we, Dion, in particular, will see an icon that you are
[199.44s -> 201.00s]  raising your hand.
[201.00s -> 208.28s]  And you would like to just on the phone, you can get star, nine.
[208.28s -> 210.72s]  And Dion, to be able to see that you'd like to talk,
[210.72s -> 213.48s]  and then she'll recognize you kind of in the order
[213.48s -> 217.08s]  as people come in.
[217.08s -> 218.92s]  As for all the folks who are in the picture,
[218.92s -> 220.92s]  I think you can see that you basically
[220.92s -> 224.40s]  have the same functionality through Zoom.
[224.40s -> 228.00s]  You can raise your hand through the raise your hand function.
[228.00s -> 229.12s]  And we'll do the same thing.
[229.12s -> 234.04s]  Where Dion will try to keep this as a sequential thing.
[234.04s -> 236.68s]  As soon as you get into the queue to speak,
[236.68s -> 241.60s]  then Dion will recognize folks in that order.
[241.60s -> 244.76s]  I think that is about all for now.
[244.76s -> 246.96s]  Dion adds to just the logistics.
[250.96s -> 252.44s]  I think we're good.
[252.44s -> 259.08s]  And I will try to call you in order, so bear with me.
[259.60s -> 261.72s]  Sorry, Dion.
[261.72s -> 262.96s]  Yes.
[262.96s -> 264.64s]  Are you going to mute us like a member
[264.64s -> 266.72s]  when we tried last night that you would unmute
[266.72s -> 268.92s]  as you pick the person?
[268.92s -> 272.96s]  Well, as while we were talking today,
[272.96s -> 277.80s]  as far as I know, the way I understand it
[277.80s -> 283.60s]  when Nick was excited, I really can't mute everybody.
[283.60s -> 286.36s]  So we're just going to have to use our manners
[286.36s -> 288.56s]  and not talk over each other.
[288.56s -> 290.28s]  OK, I didn't know if you were going to leave the board
[290.28s -> 293.36s]  of finance unmuted and mute after public comment, that's all.
[293.36s -> 297.08s]  Yeah, let me just see how this goes, OK?
[297.08s -> 297.84s]  Sure.
[297.84s -> 299.36s]  All right, thanks.
[299.36s -> 302.76s]  Just a general request is for folks to be patient.
